Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2011-03-29,411.89337158203125,412.6904742528673,409.56391010137423,410.49847991601536,633951
2011-03-30,413.6369323730469,414.38419891246815,412.39148814067806,412.98930745348576,255007
2011-03-31,412.14239501953125,414.3523287565848,410.4984147311262,413.28819762015576,479900
2011-04-01,413.28826904296875,413.48755231506146,406.51306348083153,408.4061329402794,795070
2011-04-04,413.1885986328125,420.84060084599815,410.6379312284173,412.49113768674266,946103
2011-04-05,413.8861083984375,415.28100015123294,411.694144331576,412.9893944435232,580204
2011-04-06,412.9892883300781,419.5652396537575,411.39511370519347,414.18492690032963,1130858
2011-04-07,406.26385498046875,413.60698834036043,405.5165885396708,412.192180906672,594562
2011-04-08,407.5094909667969,410.4985581377025,406.81202979770677,409.3029191067948,101140
2011-04-11,407.11083984375,416.47657492098926,407.74450828306595,416.47657492098926,113521
2011-04-12,404.96875,407.01126683872735,400.2858664686872,407.01126683872735,233453
2011-04-13,407.0611267089844,408.4062130435348,404.52043172645017,404.52043172645017,219808
2011-04-14,408.45587158203125,409.50203249520854,406.9115026073993,406.9115026073993,155507
2011-04-15,415.0319519042969,415.28104082763554,409.70147326994015,411.69418465664927,78975
2011-04-18,410.2991943359375,415.28097197676414,408.8046610436895,415.08369552819426,119266
2011-04-19,410.2493591308594,413.38787273692816,409.90062863988385,411.7936979255797,174564
2011-04-20,416.5263671875,418.0707363175523,414.28456751392605,414.9820284638018,64710
2011-04-21,420.56170654296875,422.66400227242247,418.3896586237065,420.8606010616342,139752
2011-04-26,424.8459777832031,436.4037076281422,421.2590919132073,436.4037076281422,193363
2011-04-27,425.69287109375,435.40733684720595,422.5942202023137,435.40733684720595,149405
2011-04-28,429.6781005859375,443.3779820538949,427.121444128484,435.40714192708333,539583
2011-04-29,427.1175842285156,427.1175842285156,427.1175842285156,427.1175842285156,0
2011-05-03,433.61395263671875,442.3818694175869,419.4656914973065,442.3818694175869,687201
2011-05-04,427.6358642578125,434.51071227592814,406.91164814917346,412.9894237965715,478405
2011-05-05,426.3404846191406,430.0270118917352,424.44741537362785,429.7280870173775,558989
2011-05-06,427.8349304199219,428.13385523324746,411.4947107009598,411.4947107009598,524293
2011-05-09,423.1024475097656,426.669417990422,421.35882501174535,421.35882501174535,669595
2011-05-10,426.29071044921875,427.23722993860434,421.9565579054007,421.9565579054007,80470
2011-05-11,424.646728515625,426.83869238344096,424.4474452520249,425.44380075731135,211311
2011-05-12,422.3551330566406,424.1585342614039,419.5653495372168,422.4547746979829,194079
2011-05-13,424.3976135253906,426.938307744995,422.8532443434101,426.938307744995,210769
2011-05-16,421.35870361328125,424.347769891559,419.81436486537956,424.347769891559,316260
2011-05-17,418.66864013671875,422.05624313472373,418.5689984942915,422.05624313472373,308013
2011-05-18,431.52154541015625,436.30403934038424,419.46563855336115,419.46563855336115,442237
2011-05-19,431.1230163574219,436.90186581801424,420.4620008556488,420.4620008556488,509332
2011-05-20,430.5250244140625,433.61373115913966,428.83120866169475,433.61373115913966,123171
2011-05-23,423.75,428.3790943641142,421.85693055080174,423.2518222288237,388776
2011-05-24,423.4012756347656,425.14489773401584,420.4620147906298,420.4620147906298,436476
2011-05-25,425.14501953125,425.6431974166129,422.55050521226525,424.4475583291959,428741
2011-05-26,430.176513671875,430.2761553092954,427.7155142187486,429.42924700076003,9204565
2011-05-27,436.1048583984375,437.40010851623776,430.82415547321824,432.7172250324494,699974
2011-05-31,441.435302734375,442.0978876715982,436.96167616176376,441.88367488270654,350094
2011-06-01,441.8835754394531,443.6770028164642,440.38904248982703,442.3817530893285,253170
2011-06-02,437.54962158203125,440.0903469886449,438.06573921211134,438.6954246133914,98276
2011-06-03,440.1400146484375,441.3854589456883,437.74676085956264,441.1861756955862,406229
2011-06-06,442.48150634765625,447.363642467027,439.09390355501284,447.363642467027,142688
2011-06-07,440.9869384765625,443.7767216387079,440.09022463204116,441.086580105144,345535
2011-06-08,439.3429260253906,442.58108107710683,438.8945539326115,440.38908703340354,181423
2011-06-09,442.5810546875,458.3234569146358,437.8483668171858,458.3234569146358,150911
2011-06-10,438.5956726074219,444.3745219409734,438.5956726074219,442.2821694559445,270918
2011-06-13,440.33935546875,441.3855166526744,438.539937556076,440.8873388686421,94930
2011-06-14,440.8870849609375,441.88343995519955,438.95914047954784,441.08636812232646,401601
2011-06-15,440.09027099609375,444.0487836804873,438.99427377894483,442.1825933849535,1598959
2011-06-16,437.39996337890625,441.88356209235747,434.41089756993875,441.88356209235747,220101
2011-06-17,436.4535217285156,438.49007872824245,433.41464956651174,437.6989661238217,140593
2011-06-20,431.92010498046875,434.52954808988255,430.12667726073954,434.3113520755599,161239
2011-06-21,436.4535217285156,437.7986077567177,432.0596206594703,433.9128273246342,254062
2011-06-22,438.0476379394531,439.59200702650884,435.5069438760127,435.5069438760127,107462
2011-06-23,432.0695495605469,447.36361232140285,431.92010231921637,447.36361232140285,127528
2011-06-24,428.4329833984375,434.90929593818134,427.9348055107649,434.2118347328936,361658
